,input_ids,organ_tissue,method,donor,anatomical_information,n_counts_UMIs,n_genes,cell_ontology_class,free_annotation,manually_annotated,compartment,gender,length,embeddings
0,[16345  9009 13048 ...  9332 13451  5456],Vasculature,10X,TSP14,CoronaryArteries,12027.0,3428,fibroblast,fibroblast,True,stromal,male,2048,"[-0.05998264625668526, -0.1416592001914978, 1.5854854583740234, -0.03923410549759865, -0.0974365696310997, -0.30946171283721924, -0.7580598592758179, -0.08794093132019043, -0.10837222635746002, 0.2776508927345276, 1.111513614654541, 0.3603488802909851, -0.2886444926261902, 0.08826939761638641, -0.476998507976532, -0.4340297281742096, 0.33676785230636597, -0.1823401302099228, -0.09189268946647644, 0.38965675234794617, -0.08747006952762604, -0.34957224130630493, -0.13788118958473206, -0.2055453062057495, -0.02879982814192772, 0.5236999988555908, -1.4147069454193115, -0.005580589175224304, 0.4381701946258545, 0.255163311958313, -0.2823999524116516, -0.01850263401865959, 0.6355160474777222, -0.02028481848537922, -0.012982508167624474, 0.008713772520422935, 0.11377157270908356, -0.19269317388534546, -1.0079505443572998, 0.09682047367095947, 0.09612047672271729, -0.34247851371765137, 0.7894140481948853, -0.17214739322662354, 0.26540958881378174, 0.12831780314445496, 0.1634460836648941, 0.3745404779911041, 0.25401830673217773, -0.2188892364501953, -0.11204566061496735, -0.3656531572341919, 0.12861286103725433, -0.5565273761749268, 0.2617186903953552, -0.17439687252044678, 0.8013214468955994, -0.003280152101069689, 0.6755572557449341, -0.6340358257293701, -0.2992119789123535, 0.18294930458068848, -0.11589255928993225, 0.8397345542907715, -0.6503500938415527, -0.058720819652080536, -0.1162848100066185, -0.07971234619617462, 0.339834988117218, -0.04097290337085724, -0.3241506814956665, 0.33887919783592224, 0.07370719313621521, 0.26183295249938965, -0.01605013757944107, -0.03378523513674736, 0.4885042905807495, 0.13079911470413208, 1.0899478197097778, 0.6982576847076416, -0.35311660170555115, 0.02198656275868416, 0.4330170750617981, -0.3125608563423157, -1.2306183576583862, 0.22831247746944427, 0.23078137636184692, 0.46308743953704834, -0.055692508816719055, 0.5276329517364502, 0.38043585419654846, 0.4982256293296814, -0.5469017028808594, -0.16279710829257965, -1.6384668350219727, 0.19293510913848877, 0.5217517614364624, 0.17663276195526123, -0.4643404483795166, 0.17807206511497498, -0.3454073667526245, 0.8098585605621338, 0.6033103466033936, 0.19660243391990662, 0.4414231479167938, 0.25951021909713745, -0.19671198725700378, -0.2188260555267334, -0.2971310317516327, -0.157184898853302, 0.7691916227340698, -0.6746760010719299, 0.2268010377883911, 0.3301381468772888, -0.38586992025375366, -0.0394621342420578, -0.28512799739837646, -0.4634932279586792, -0.037461452186107635, -1.1593166589736938, 0.25303006172180176, 0.1725699007511139, -0.02530795708298683, -0.30276840925216675, 0.08262905478477478, -0.12928059697151184, -0.1316366195678711, -0.28244680166244507, -0.3265417814254761, 0.6392537951469421, -1.4491956233978271, -0.11488519608974457, -0.637829065322876, 0.5960335731506348, 0.22402173280715942, 0.49285101890563965, 0.15290816128253937, 0.14533483982086182, -0.30977606773376465, -0.03671383857727051, -0.3304499387741089, -0.19067952036857605, -0.3698028326034546, 0.4117698073387146, 0.07891114801168442, 0.4192499816417694, -0.3730761408805847, 0.12079037725925446, 0.5852743983268738, 0.31096017360687256, 0.35438501834869385, 0.8615289926528931, 0.3287047743797302, -0.07949483394622803, 0.23702757060527802, -0.3721306324005127, -0.41976577043533325, 0.5667126178741455, 0.607001543045044, -0.03499889373779297, -0.15177200734615326, -0.05249551311135292, 0.27702629566192627, -0.10921947658061981, 0.21195340156555176, -1.669620394706726, -0.7899290323257446, 0.11863173544406891, -0.5601246953010559, -0.041756048798561096, 0.4901689887046814, 0.29116225242614746, 0.9055324196815491, 0.06470596790313721, -0.3427482843399048, -0.7269129157066345, -0.40208670496940613, -0.14457212388515472, -0.22009924054145813, -0.0006869283970445395, 0.10902784019708633, 0.3564935326576233, -0.4153314232826233, -0.11545833200216293, -0.1459268033504486, -0.13847967982292175, 0.45144933462142944, -0.3344354033470154, 0.614650309085846, 0.11854565143585205, 0.444599449634552, -0.5736778974533081, 0.10660350322723389, -0.7539158463478088, -0.009372778236865997, -0.29717424511909485, 0.03385471925139427, 0.05021091550588608, -0.5034300684928894, 0.39768654108047485, -0.021612955257296562, -0.5188106894493103, -0.06574155390262604, 0.5118193626403809, 0.07350311428308487, -0.723294734954834, -0.2753291130065918, 0.04767051339149475, 0.13933856785297394, -0.5512115359306335, -0.020691916346549988, -0.4472500681877136, 0.23005637526512146, -0.173068106174469, 0.0027677426114678383, -0.28574836254119873, -0.0448356494307518, 0.5168089866638184, -0.16059425473213196, -1.1583309173583984, -0.2071216106414795, 0.033937156200408936, 0.5158092975616455, 0.2840559482574463, 0.773352861404419, 0.03736061602830887, -0.18262186646461487, 1.322676420211792, -0.5404465794563293, 0.08510179817676544, 0.04203591123223305, 0.899949312210083, 0.3292287290096283, -0.8765318393707275, 0.38846129179000854, 0.39636096358299255, 0.07987546920776367, -1.3849983215332031, 0.4429294168949127, -0.15166327357292175, 0.1010156124830246, 0.1246124804019928, 0.27172228693962097, 0.09529969096183777, 0.0024939782451838255, 0.39104029536247253, 0.8612618446350098, -0.08450369536876678, 0.16795438528060913, 0.03100990690290928, -2.6762797832489014, -0.18336287140846252, 0.18201661109924316, 0.1751544177532196, -0.34790050983428955, 0.6271727681159973, 0.09315809607505798, -0.02138350158929825, -0.3867740035057068, 0.12103164196014404, -0.536147952079773, -0.9029982686042786, -0.487329363822937, -0.00938287191092968, -0.07199127227067947, 0.24451684951782227, -0.28304818272590637, 0.5006132125854492, -0.4841986894607544, -1.4282113313674927, -0.61573326587677, 0.17417654395103455, -0.23956827819347382, 5.3440046310424805, 0.1565452367067337, -0.1614474505186081, 0.09562808275222778, -0.011878255754709244, -0.40157055854797363, -0.3874751925468445, -0.6165611743927002, -0.143467515707016, -0.07935166358947754, 0.029842816293239594, 0.36227259039878845, 0.26018255949020386, 0.8256973624229431, -0.30065661668777466, 0.5297268629074097, 0.9520775079727173, -0.15210005640983582, 0.05768558382987976, -0.16092067956924438, -0.10423299670219421, -0.07210862636566162, -0.12036402523517609, 0.248030886054039, -0.08203448355197906, -0.09009653329849243, -0.24760490655899048, 0.7929534912109375, 0.01858527585864067, -0.6510595679283142, -0.07526187598705292, 1.199375867843628, 0.1607547402381897, -0.8277246952056885, -0.034856460988521576, 0.055687762796878815, 0.3536914587020874, -0.8683652877807617, -0.4998658299446106, -0.34344813227653503, 0.4859784245491028, 0.04646685719490051, 0.380414754152298, -0.0724957287311554, -0.8032007217407227, 0.5235299468040466, 0.05971803516149521, -0.009226088412106037, -0.5195761919021606, 0.23004400730133057, -0.33261048793792725, 0.0635555237531662, 0.001981288893148303, 0.24846865236759186, 0.1872868835926056, 0.14498168230056763, 0.05908108502626419, -0.45202767848968506, -0.18854674696922302, -0.07263880223035812, 0.5752658843994141, -0.06520944833755493, -0.014021435752511024, -0.3454347848892212, 0.14964304864406586, -0.10619321465492249, 0.11156104505062103, -0.022807667031884193, -0.7854013442993164, 0.35733237862586975, 0.3283706307411194, -0.8403299450874329, 0.18162493407726288, 0.14501747488975525, 0.08320452272891998, 0.07394584268331528, -0.543992280960083, -0.21237429976463318, -0.31192946434020996, 0.1398613154888153, 0.16538897156715393, 0.6199794411659241, -0.5155864953994751, -0.0674070194363594, 0.18790918588638306, -0.46394652128219604, 0.4926708936691284, -0.029889976605772972, 0.23706956207752228, 0.4713181257247925, -0.1750645935535431, -0.054443854838609695, 0.11162914335727692, 0.03543030470609665, 0.006868978496640921, 0.38810110092163086, -0.14101238548755646, -0.09425394982099533, -0.39268624782562256, -0.4793007969856262, -0.767285943031311, -0.12022343277931213, 0.10956844687461853, 0.08544692397117615, 0.08272168040275574, 0.2673678994178772, -0.37374117970466614, 0.176508828997612, 0.16196715831756592, 0.20968939363956451, -0.4236176609992981, -0.19293664395809174, 0.3258179724216461, 0.5374969244003296, -0.13512341678142548, -0.12005108594894409, 0.4557943344116211, 0.18202413618564606, 0.19059181213378906, -0.20079824328422546, -0.1618311107158661, -0.42704927921295166, -0.2906084656715393, 0.2648242115974426, -0.16203850507736206, 0.02463054098188877, -0.10505439341068268, -0.3265641927719116, -0.10065695643424988, 0.024653904139995575, -0.08871753513813019, -0.3125823140144348, -0.05802249163389206, 0.8086692094802856, 0.20863491296768188, -0.19587403535842896, -0.7476445436477661, -0.15528617799282074, -1.8049230575561523, -0.5514556169509888, -0.2323177605867386, 0.041318126022815704, -0.3421475887298584, 0.09753233939409256, -0.04400567710399628, -0.3105807900428772, -0.13085615634918213, 0.28572380542755127, 0.4686666429042816, 0.1935146152973175, 0.12171494960784912, 0.0685453712940216, 0.07706764340400696, 0.35223472118377686, 0.7848823070526123, 0.528332531452179, -0.19575652480125427, 0.22020243108272552, 0.26865851879119873, -0.23639073967933655, 0.31847989559173584, 0.6159622669219971, 0.16379837691783905, -0.5469553470611572, -0.12951545417308807, 0.36342352628707886, 0.12507453560829163, -0.4244893193244934, -1.545841932296753, 0.06060865521430969, -1.1842727661132812, -0.32040512561798096, 0.2807597517967224, 0.5014990568161011, 0.412711501121521, -0.02063169702887535, 0.14188849925994873, 0.42881298065185547, 0.3367149233818054, 0.044229697436094284, 1.5254507064819336, -0.686400294303894, -0.17689695954322815, -0.037180762737989426, 0.07579580694437027, -0.08014897257089615, -0.25589752197265625, -0.11961714923381805, 0.3597137928009033, 0.1431381106376648, 0.00635220343247056, -0.39856094121932983, -1.4753170013427734, 0.4152831435203552, -0.23945555090904236, -0.04666677862405777, -0.1573449671268463, -0.2485267072916031, 0.26789990067481995, -0.027874011546373367, 0.016399286687374115, -0.14096197485923767, 0.5197255611419678, 0.14544199407100677, -0.16002483665943146, -0.8043363690376282, -0.17055870592594147, -0.4451792240142822, 0.1070132777094841, -0.2577735185623169, 1.1408753395080566, -0.14849908649921417, -0.2557762861251831, 0.07757613062858582, 0.026845581829547882, 0.06841995567083359, -0.3694498836994171, -0.6422803401947021, 0.1124061644077301, -0.11567133665084839, -0.1286584883928299, 0.11928379535675049, -0.010483738034963608, 0.46926456689834595, -0.22435037791728973, 0.6553712487220764, 0.8425188064575195, 0.3120998740196228, 0.01053501944988966, 0.3156891465187073, 0.0021763984113931656, 0.1875791847705841, -0.28498977422714233, 0.16361932456493378, 0.0036714747548103333, 0.2373526245355606, 0.160889133810997, 0.5518869757652283, -0.4803304076194763]"
1,[12119  9190 16876 ... 11232  1132  1022],Vasculature,10X,TSP14,CoronaryArteries,5342.0,2010,fibroblast,fibroblast,True,stromal,male,2048,"[0.0511886291205883, -0.4212387204170227, 1.4149826765060425, -0.06177220866084099, 0.0358053483068943, -0.18843844532966614, -0.6409955024719238, -0.1253972351551056, 0.14231626689434052, 0.3923664689064026, 0.9152301549911499, 0.2967780828475952, -0.35445696115493774, 0.11618582904338837, -0.4188034236431122, -0.47800886631011963, 0.32934343814849854, -0.16367657482624054, -0.10113619267940521, 0.3778228759765625, -0.031002812087535858, -0.4580847918987274, -0.13556012511253357, -0.23896852135658264, -0.04197044298052788, 0.5306988954544067, -1.2828071117401123, 0.19954243302345276, 0.39485254883766174, 0.1535903811454773, -0.14848431944847107, 0.07651084661483765, 0.6485041379928589, -0.1010877937078476, 0.12869393825531006, 0.12589770555496216, 0.048326730728149414, -0.25817304849624634, -1.050999641418457, 0.198015034198761, 0.02070023864507675, -0.3429941236972809, 0.7086139917373657, -0.17327085137367249, 0.4490164816379547, 0.17605268955230713, 0.25221484899520874, 0.5236269235610962, 0.16461025178432465, -0.27497556805610657, 0.040165916085243225, -0.3474491536617279, 0.00164692010730505, -0.6546038389205933, 0.17701280117034912, -0.11235637962818146, 0.7432147264480591, 0.12651386857032776, 0.7256964445114136, -0.5517704486846924, -0.25939762592315674, 0.0699458122253418, -0.14151975512504578, 0.922860860824585, -0.7164301872253418, 0.030195020139217377, -0.039618149399757385, -0.13027682900428772, 0.28804755210876465, -0.034460775554180145, -0.4101276993751526, 0.31925415992736816, -0.1422007828950882, 0.16412986814975739, 0.0061956606805324554, -0.09081022441387177, 0.5993989706039429, 0.07948233187198639, 1.0037939548492432, 0.6088090538978577, -0.3494906425476074, -0.08165500313043594, 0.37140336632728577, -0.29485946893692017, -1.163536548614502, 0.23951123654842377, 0.15442152321338654, 0.3625335693359375, -0.09509270638227463, 0.4648362398147583, 0.22159522771835327, 0.4255783259868622, -0.43337398767471313, 0.0833437517285347, -1.5763473510742188, 0.32589656114578247, 0.5802650451660156, 0.2237345427274704, -0.2726888656616211, 0.12124841660261154, -0.2890811562538147, 0.8262115716934204, 0.7387237548828125, 0.22180885076522827, 0.4145723879337311, 0.19414538145065308, -0.22077351808547974, -0.10333704948425293, -0.33104440569877625, -0.1420942097902298, 0.829077422618866, -0.761590838432312, -0.005125383380800486, 0.28219297528266907, -0.5114132165908813, -0.0936715230345726, -0.17666231095790863, -0.5421633124351501, -0.052530013024806976, -1.167210578918457, 0.23771898448467255, 0.24370665848255157, 0.01672329008579254, -0.3289296627044678, -0.1443306803703308, -0.14292681217193604, -0.2586028277873993, -0.18491557240486145, -0.2822098135948181, 0.5034817457199097, -1.683476448059082, -0.16790586709976196, -0.7653095722198486, 0.6708360910415649, 0.11111719906330109, 0.6135002970695496, 0.21007040143013, 0.17031040787696838, -0.275410532951355, -0.08105801045894623, -0.3056313395500183, -0.2615807056427002, -0.23351477086544037, 0.3725854158401489, 0.2075384557247162, 0.3793467879295349, -0.35997334122657776, 0.020116236060857773, 0.6686360239982605, 0.251878023147583, 0.32474058866500854, 0.6398274898529053, 0.3295925557613373, -0.20834505558013916, 0.06502917408943176, -0.35220980644226074, -0.5000014901161194, 0.6463279724121094, 0.570721447467804, -0.0089145852252841, -0.1233716830611229, -0.15889057517051697, 0.20632553100585938, -0.09399615973234177, 0.25620612502098083, -1.8454538583755493, -0.7500662207603455, 0.056240592151880264, -0.5134425759315491, -0.10920087993144989, 0.41269147396087646, 0.25932204723358154, 0.8037863969802856, -0.026695899665355682, -0.410910040140152, -0.6596505641937256, -0.54948490858078, -0.08991352468729019, -0.3269364833831787, 0.20440299808979034, 0.16878515481948853, 0.459492564201355, -0.30663663148880005, -0.026775691658258438, -0.0784057080745697, -0.310894250869751, 0.3053909242153168, -0.34803080558776855, 0.6361681222915649, 0.12687338888645172, 0.4928702712059021, -0.5525119304656982, 0.08085156232118607, -0.8073098659515381, 0.04542914405465126, -0.19501271843910217, -0.09107387065887451, 0.25318366289138794, -0.3486770987510681, 0.3884110152721405, 0.014975987374782562, -0.40432390570640564, -0.06696011126041412, 0.4258997440338135, 0.08265741914510727, -0.7114615440368652, -0.39759111404418945, 0.1583273708820343, 0.10468371212482452, -0.6785785555839539, -0.005734312813729048, -0.4512260854244232, 0.11766926944255829, -0.22369462251663208, 0.06474518775939941, -0.3124723732471466, -0.01062573678791523, 0.598449170589447, -0.16265344619750977, -1.2014607191085815, -0.32995808124542236, 0.005299975164234638, 0.5146114826202393, 0.1740999072790146, 0.8216925263404846, 0.003546071471646428, -0.20969688892364502, 1.2046799659729004, -0.2526230812072754, 0.22019343078136444, -0.020344635471701622, 0.7603424787521362, 0.1750950813293457, -1.0422067642211914, 0.40952426195144653, 0.2942935526371002, -0.07118809223175049, -1.3226840496063232, 0.2352374792098999, -0.3173288106918335, 0.12072926014661789, 0.26835012435913086, 0.06795330345630646, 0.022866198793053627, 0.03402583301067352, 0.3652561604976654, 0.7590014338493347, -0.0859348326921463, 0.11590703576803207, 0.05053045228123665, -2.4069676399230957, 0.019625172019004822, 0.21635913848876953, 0.1047239899635315, -0.35018390417099, 0.5937702655792236, 0.06411080062389374, -0.04198237508535385, -0.4179437756538391, 0.015615856274962425, -0.5293579697608948, -0.6754153370857239, -0.03233371675014496, 0.015189929865300655, -0.034794241189956665, 0.23161956667900085, -0.2323334664106369, 0.42330223321914673, -0.4556785225868225, -1.337708830833435, -0.7544078826904297, 0.29182344675064087, -0.2635939121246338, 5.389167785644531, 0.13367649912834167, -0.12561115622520447, 0.14952075481414795, 0.1018947958946228, -0.6168655157089233, -0.4011414051055908, -0.6591871380805969, -0.033260222524404526, -0.08018132299184799, -0.2211751639842987, 0.36148136854171753, 0.371303915977478, 0.6508586406707764, -0.2597997784614563, 0.37991780042648315, 0.8970038890838623, -0.15322047472000122, -0.013507485389709473, 0.003740380983799696, -0.10456617176532745, -0.06231151148676872, -0.09220866113901138, 0.2561416029930115, -0.1253242939710617, -0.12853142619132996, -0.26139652729034424, 0.8255558609962463, 0.16505013406276703, -0.7393406629562378, -0.0625862255692482, 1.1605408191680908, 0.12101567536592484, -0.7240664958953857, -0.04642150551080704, -0.00874289870262146, 0.4351683259010315, -0.8297864198684692, -0.16754435002803802, -0.21318590641021729, 0.16379070281982422, 0.12075082212686539, 0.28879019618034363, -0.04413800314068794, -0.4891563653945923, 0.38724029064178467, 0.008737715892493725, 0.03636962175369263, -0.36033666133880615, 0.22086799144744873, -0.1914563626050949, -0.04049427807331085, -0.06971191614866257, 0.32826700806617737, 0.07180510461330414, 0.18353238701820374, 0.21328002214431763, -0.396102637052536, -0.18163186311721802, -0.22045591473579407, 0.401993989944458, -0.0866062343120575, -0.03861907497048378, -0.5230767726898193, 0.2116413414478302, -0.19617687165737152, -0.09636116027832031, 0.04100301116704941, -0.880134105682373, 0.39680808782577515, 0.20179063081741333, -0.8453876972198486, 0.10264167189598083, 0.1232171356678009, 0.09589694440364838, -0.08529895544052124, -0.5048497915267944, -0.3127211630344391, -0.22328336536884308, 0.23005443811416626, 0.2938084602355957, 0.5773106813430786, -0.5197679996490479, -0.14364252984523773, 0.05833504721522331, -0.342159628868103, 0.5170857906341553, 0.10297468304634094, 0.2343256026506424, 0.41173285245895386, -0.20628958940505981, -0.06885845214128494, 0.21529479324817657, -0.026819245889782906, 0.13829828798770905, 0.5277228951454163, -0.0499688982963562, -0.19188520312309265, -0.44126471877098083, -0.6054291129112244, -0.6190367937088013, -0.0820135772228241, 0.11948421597480774, 0.20498287677764893, 0.1404937207698822, 0.21197563409805298, -0.31728535890579224, 0.24753451347351074, 0.1666671633720398, 0.21459242701530457, -0.4134591221809387, -0.41117751598358154, 0.5053209066390991, 0.2871711254119873, -0.12255001068115234, -0.17204171419143677, 0.5078195333480835, 0.06291592866182327, 0.004225460346788168, -0.11817432940006256, -0.14142532646656036, -0.6510065793991089, -0.3454376757144928, 0.25471585988998413, -0.15337321162223816, 0.06336763501167297, 0.06221139430999756, -0.43034613132476807, -0.15958184003829956, -0.02302194945514202, 0.11228960007429123, -0.12253370881080627, -0.09737175703048706, 0.7456045150756836, 0.08673689514398575, -0.25315386056900024, -0.6734590530395508, -0.07039991766214371, -1.767472267150879, -0.5946553349494934, -0.14623770117759705, 0.09298732131719589, -0.3163590431213379, 0.15928922593593597, 0.02682114765048027, -0.20196673274040222, -0.1022297665476799, 0.35560715198516846, 0.4621264934539795, 0.01403481513261795, 0.189835786819458, 0.0503067784011364, 0.0928959846496582, 0.36197447776794434, 0.977249801158905, 0.4139591455459595, -0.2629571855068207, 0.0561755895614624, 0.2423328161239624, -0.2785627245903015, 0.1945481151342392, 0.7447537779808044, 0.10773591697216034, -0.4661208987236023, 0.022931642830371857, 0.34421423077583313, 0.027048777788877487, -0.31321394443511963, -1.5776697397232056, 0.1312335580587387, -1.3699692487716675, -0.1487625241279602, 0.28614914417266846, 0.4157668948173523, 0.21841579675674438, 0.06400935351848602, 0.27475792169570923, 0.4710663855075836, 0.30842164158821106, 0.3273128569126129, 1.5061304569244385, -0.6002682447433472, -0.14578144252300262, -0.07145791500806808, 0.04780665040016174, -0.020547611638903618, -0.021148210391402245, -0.13230448961257935, 0.40220558643341064, 0.07577212154865265, 0.2136656939983368, -0.4450492858886719, -1.2861827611923218, 0.4980261027812958, -0.06587793678045273, -0.0028611733578145504, -0.1449863314628601, -0.3016907572746277, 0.20767360925674438, -0.11271663010120392, 0.15840116143226624, -0.04592146724462509, 0.3486197292804718, 0.18567287921905518, -0.15008381009101868, -0.7895580530166626, -0.1629496067762375, -0.21405106782913208, 0.1738046407699585, -0.32025033235549927, 1.0811364650726318, -0.301968514919281, -0.052043113857507706, 0.11292961239814758, 0.061725448817014694, -0.04458822309970856, -0.3437291979789734, -0.6492506265640259, 0.19001474976539612, -0.1863117814064026, -0.3001096844673157, 0.1868342012166977, 0.03722982108592987, 0.39064842462539673, -0.17431852221488953, 0.568260908126831, 0.7938165068626404, 0.1511237919330597, 0.17151954770088196, 0.3500760793685913, -0.06610221415758133, 0.12930838763713837, -0.35473179817199707, 0.16014763712882996, 0.2739691138267517, 0.24108844995498657, 0.14177045226097107, 0.6382240653038025, -0.4474343955516815]"
